{'timestamp': 1656191772.7019205, 'bot1': 165.3027525481654, 'bot2': 279.7892063679369}
{'timestamp': 1656191774.7655067, 'bot1': 170.23806859806652, 'bot2': 280.0303554973996}
{'timestamp': 1656191776.8153262, 'bot1': 169.14490828872147, 'bot2': 279.12183719659055}
{'timestamp': 1656191778.869034, 'bot1': 170.18813119603846, 'bot2': 280.0303554973996}
{'timestamp': 1656191780.9124813, 'bot1': 166.14752480852673, 'bot2': 278.03776721877193}
{'timestamp': 1656191782.969584, 'bot1': 177.0706073858674, 'bot2': 316.46958779636316}
{'timestamp': 1656191785.0400145, 'bot1': 184.00271737123884, 'bot2': 320.7615937109678}
{'timestamp': 1656191789.132433, 'bot1': 191.5097908724251, 'bot2': 327.00611615075337}      
{'timestamp': 1656192029.1079543, 'bot1': 160.1998751560063, 'bot2': 211.15160430363773}     
{'timestamp': 1656192031.1439755, 'bot1': 162.19741058352318, 'bot2': 212.11553455605272}    
{'timestamp': 1656192033.1836882, 'bot1': 161.19863522995473, 'bot2': 211.0852908186641}     
{'timestamp': 1656192035.2251127, 'bot1': 161.25135658344087, 'bot2': 211.11608181282637}    
{'timestamp': 1656192037.2586377, 'bot1': 160.1998751560063, 'bot2': 210.15232570685484}     
{'timestamp': 1656192039.2960813, 'bot1': 158.61904047118682, 'bot2': 214.0023364358436} 
